User      	: DESKTOP-OH6NMV2
File Name 	: -----
Real Time 	: 600 Sec
Live Time 	: 593.730 Sec
Dead Time 	: 6.270 Sec
Date      	: 07-10-2025
-------------------------------------------------------------------------------------------------

Channel	Counts
0      	0
1      	0
2      	0
3      	0
4      	3891
5      	5289
6      	5752
7      	6337
8      	6697
9      	6990
10     	7274
11     	7372
12     	8008
13     	8459
14     	8746
15     	8696
16     	8767
17     	8285
18     	7931
19     	7702
20     	7441
21     	7303
22     	7127
23     	7125
24     	7110
25     	7249
26     	7378
27     	7518
28     	7548
29     	7544
30     	7533
31     	7681
32     	7473
33     	7502
34     	7595
35     	7691
36     	7800
37     	7861
38     	8116
39     	8300
40     	8823
41     	8933
42     	9408
43     	9612
44     	10070
45     	10167
46     	10313
47     	10296
48     	10382
49     	10118
50     	10070
51     	9786
52     	9879
53     	9484
54     	9256
55     	9010
56     	8970
57     	8837
58     	8828
59     	8598
60     	8415
61     	8585
62     	8267
63     	8169
64     	8153
65     	8007
66     	7745
67     	7934
68     	7581
69     	7607
70     	7571
71     	7554
72     	7445
73     	7379
74     	7366
75     	7303
76     	7440
77     	7302
78     	7196
79     	7078
80     	7202
81     	7191
82     	6960
83     	7029
84     	7052
85     	7025
86     	6911
87     	6852
88     	6817
89     	6890
90     	6871
91     	6845
92     	6891
93     	6774
94     	6754
95     	6855
96     	6879
97     	6914
98     	6832
99     	6849
100    	6840
101    	6702
102    	6786
103    	6704
104    	6655
105    	6795
106    	6709
107    	6731
108    	6674
109    	6733
110    	6571
111    	6686
112    	6570
113    	6565
114    	6815
115    	6799
116    	6717
117    	6770
118    	6656
119    	6810
120    	6708
121    	6996
122    	6761
123    	6763
124    	6706
125    	6661
126    	6756
127    	6773
128    	6902
129    	6982
130    	6869
131    	6943
132    	6861
133    	6889
134    	6805
135    	6929
136    	6767
137    	7021
138    	7051
139    	7066
140    	7125
141    	7167
142    	6829
143    	7163
144    	7048
145    	7224
146    	7091
147    	7128
148    	7112
149    	7235
150    	7435
151    	7494
152    	7380
153    	7484
154    	7444
155    	7613
156    	7628
157    	7602
158    	7647
159    	7741
160    	7644
161    	7627
162    	7813
163    	7789
164    	7769
165    	7938
166    	7857
167    	7987
168    	7680
169    	7714
170    	7901
171    	7916
172    	7933
173    	7981
174    	7819
175    	7731
176    	7823
177    	7729
178    	7664
179    	7651
180    	7574
181    	7496
182    	7477
183    	7318
184    	7257
185    	7111
186    	6880
187    	6942
188    	6527
189    	6417
190    	6285
191    	6205
192    	5986
193    	5921
194    	5607
195    	5595
196    	5449
197    	5497
198    	5432
199    	5286
200    	5310
201    	5305
202    	5391
203    	5515
204    	5405
205    	5692
206    	5786
207    	6090
208    	6080
209    	6587
210    	6928
211    	7171
212    	7853
213    	8078
214    	8475
215    	9339
216    	9676
217    	10063
218    	10747
219    	11174
220    	11868
221    	12052
222    	12410
223    	12756
224    	13015
225    	12901
226    	12887
227    	12833
228    	12359
229    	12072
230    	11812
231    	10921
232    	10536
233    	10201
234    	9800
235    	9115
236    	8545
237    	8369
238    	7678
239    	7507
240    	7280
241    	7183
242    	7201
243    	7251
244    	6940
245    	7360
246    	7358
247    	7612
248    	7921
249    	8199
250    	8444
251    	8667
252    	8889
253    	9140
254    	9025
255    	9173
256    	8830
257    	9048
258    	8780
259    	8544
260    	8131
261    	7829
262    	7502
263    	6928
264    	6634
265    	6218
266    	5641
267    	5222
268    	4816
269    	4410
270    	3977
271    	3644
272    	3213
273    	2801
274    	2460
275    	2179
276    	1911
277    	1659
278    	1509
279    	1322
280    	1173
281    	938
282    	881
