User      	: DESKTOP-OH6NMV2
File Name 	: -----
Real Time 	: 600 Sec
Live Time 	: 594.767 Sec
Dead Time 	: 5.233 Sec
Date      	: 07-10-2025
-------------------------------------------------------------------------------------------------

Channel	Counts
0      	0
1      	0
2      	0
3      	0
4      	46270
5      	56213
6      	52680
7      	46625
8      	35527
9      	25772
10     	21457
11     	20807
12     	21514
13     	22473
14     	23232
15     	23733
16     	23163
17     	22278
18     	21161
19     	20638
20     	19732
21     	19380
22     	19335
23     	19439
24     	19270
25     	19343
26     	19525
27     	19390
28     	19505
29     	19733
30     	19988
31     	20125
32     	20117
33     	20521
34     	21308
35     	22081
36     	23047
37     	23919
38     	24644
39     	25491
40     	25960
41     	25761
42     	25829
43     	25067
44     	24524
45     	24439
46     	23833
47     	23149
48     	23118
49     	22594
50     	22504
51     	22062
52     	21790
53     	21094
54     	20959
55     	20663
56     	20388
57     	20225
58     	19860
59     	20123
60     	19644
61     	19770
62     	19460
63     	19307
64     	18939
65     	19165
66     	18834
67     	18757
68     	18419
69     	18206
70     	18342
71     	18493
72     	18284
73     	18249
74     	18274
75     	18126
76     	17887
77     	18365
78     	18025
79     	17876
80     	17758
81     	17940
82     	17718
83     	17266
84     	17536
85     	17193
86     	17139
87     	16557
88     	16418
89     	15748
90     	15190
91     	14174
92     	13343
93     	12478
94     	11418
95     	10208
96     	9224
97     	8071
98     	7301
99     	6419
100    	5765
101    	5284
102    	4762
103    	4313
104    	4112
105    	3847
106    	3968
107    	3859
108    	4002
109    	4284
110    	4760
111    	5429
112    	6286
113    	7561
114    	9529
115    	11888
116    	14529
117    	18182
118    	22754
119    	27647
120    	33645
121    	40458
122    	47477
123    	54723
124    	62421
125    	68322
126    	73773
127    	77609
128    	79404
129    	79263
130    	76930
131    	72520
132    	66559
133    	59485
134    	52038
135    	44974
136    	37233
137    	30049
138    	23988
139    	18402
140    	13608
141    	10202
142    	7055
143    	4985
144    	3356
145    	2441
146    	1620
147    	1158
148    	823
149    	692
150    	580
151    	522
152    	467
153    	507
154    	433
155    	427
156    	456
157    	396
158    	378
159    	398
160    	413
161    	434
162    	397
163    	372
164    	382
165    	360
166    	382
167    	344
168    	375
169    	333
170    	335
171    	290
172    	316
173    	303
174    	294
175    	307
176    	282
177    	296
178    	287
179    	242
180    	259
181    	263
182    	252
183    	240
184    	225
185    	241
186    	202
187    	241
188    	212
189    	207
190    	214
191    	187
192    	185
193    	200
194    	171
195    	178
196    	185
197    	193
198    	171
199    	176
200    	169
201    	158
202    	171
203    	155
204    	163
205    	166
206    	121
207    	136
208    	160
209    	154
210    	131
211    	107
212    	146
213    	138
214    	126
215    	141
216    	101
217    	124
218    	125
219    	106
220    	115
221    	116
222    	99
223    	106
224    	105
225    	84
226    	109
227    	99
228    	85
229    	80
230    	88
231    	91
232    	83
233    	100
234    	100
235    	76
236    	95
237    	98
238    	94
239    	74
240    	98
241    	113
242    	90
243    	109
244    	119
245    	121
246    	104
247    	111
248    	116
249    	111
250    	94
251    	116
252    	119
253    	115
254    	120
255    	119
256    	106
257    	97
258    	104
259    	100
260    	85
261    	76
262    	68
263    	65
264    	73
265    	48
266    	44
267    	38
268    	33
269    	34
270    	26
271    	26
272    	19
273    	21
274    	15
275    	8
276    	11
277    	12
278    	5
279    	8
280    	7
281    	6
282    	4
283    	4
284    	2
285    	3
286    	5
287    	7
288    	2
289    	7
290    	5
291    	6
292    	0
293    	11
294    	3
295    	6
296    	5
297    	3
298    	3
299    	4
300    	5
301    	4
302    	5
303    	3
304    	4
305    	5
306    	0
307    	1
308    	1
309    	3
