User      	: DESKTOP-OH6NMV2
File Name 	: -----
Real Time 	: 300 Sec
Live Time 	: 297.569 Sec
Dead Time 	: 2.431 Sec
Date      	: 14-10-2025
-------------------------------------------------------------------------------------------------

Channel	Counts
0      	0
1      	0
2      	0
3      	0
4      	2370
5      	3151
6      	3674
7      	3999
8      	4468
9      	4612
10     	5006
11     	4998
12     	5040
13     	4950
14     	4747
15     	4509
16     	4497
17     	4431
18     	4413
19     	4543
20     	4479
21     	4447
22     	4615
23     	4675
24     	4625
25     	4624
26     	4689
27     	4750
28     	4928
29     	5028
30     	5118
31     	5243
32     	5650
33     	6002
34     	6297
35     	6431
36     	6397
37     	6355
38     	6322
39     	6407
40     	5932
41     	5876
42     	5805
43     	5691
44     	5382
45     	5406
46     	5353
47     	5340
48     	5148
49     	5134
50     	5024
51     	5065
52     	4933
53     	4874
54     	4828
55     	4708
56     	4630
57     	4713
58     	4435
59     	4634
60     	4525
61     	4527
62     	4406
63     	4301
64     	4430
65     	4383
66     	4444
67     	4294
68     	4443
69     	4376
70     	4283
71     	4244
72     	4155
73     	4056
74     	4211
75     	4217
76     	4240
77     	4270
78     	4217
79     	4134
80     	4262
81     	4269
82     	4153
83     	4101
84     	4142
85     	4121
86     	4163
87     	4145
88     	4125
89     	4056
90     	4059
91     	4181
92     	4219
93     	4128
94     	4012
95     	4235
96     	4082
97     	4207
98     	4292
99     	4140
100    	4250
101    	4243
102    	4246
103    	4236
104    	4235
105    	4227
106    	4324
107    	4429
108    	4328
109    	4331
110    	4371
111    	4357
112    	4504
113    	4428
114    	4424
115    	4522
116    	4493
117    	4429
118    	4577
119    	4561
120    	4493
121    	4691
122    	4745
123    	4717
124    	4904
125    	4677
126    	4824
127    	4811
128    	4856
129    	4900
130    	4903
131    	4886
132    	4999
133    	4819
134    	4878
135    	4847
136    	4850
137    	5029
138    	4778
139    	4780
140    	4963
141    	4838
142    	4746
143    	4613
144    	4653
145    	4408
146    	4326
147    	4341
148    	4346
149    	4069
150    	4025
151    	3876
152    	3838
153    	3538
154    	3553
155    	3488
156    	3399
157    	3399
158    	3428
159    	3207
160    	3424
161    	3339
162    	3619
163    	3676
164    	3798
165    	4125
166    	4318
167    	4519
168    	5063
169    	5340
170    	5783
171    	6017
172    	6574
173    	6883
174    	7288
175    	7623
176    	7827
177    	7801
178    	7834
179    	7954
180    	7762
181    	7508
182    	7161
183    	6810
184    	6383
185    	5998
186    	5648
187    	5442
188    	5161
189    	4769
190    	4679
191    	4590
192    	4569
193    	4533
194    	4610
195    	4715
196    	5022
197    	5063
198    	5356
199    	5426
200    	5470
201    	5663
202    	5491
203    	5521
204    	5451
205    	5240
206    	4934
207    	4728
208    	4262
209    	4079
210    	3771
211    	3339
212    	3035
213    	2652
214    	2435
215    	2062
216    	1841
217    	1532
218    	1401
219    	1094
220    	915
221    	776
222    	695
223    	614
224    	546
225    	407
226    	376
227    	400
228    	353
229    	319
230    	311
231    	285
232    	297
233    	289
234    	286
235    	270
236    	278
237    	305
238    	273
239    	300
240    	251
241    	298
242    	269
243    	265
244    	264
245    	230
246    	262
247    	265
248    	238
249    	245
250    	246
251    	264
252    	231
253    	224
254    	258
255    	247
256    	230
257    	226
258    	226
259    	248
260    	206
261    	235
262    	212
263    	211
264    	227
265    	199
266    	214
267    	208
268    	197
269    	223
270    	228
271    	212
272    	223
273    	232
274    	207
275    	213
276    	173
277    	186
278    	194
279    	211
280    	175
281    	187
282    	181
283    	177
284    	177
285    	212
286    	195
287    	171
288    	209
289    	172
290    	177
291    	187
292    	186
293    	182
294    	189
295    	166
296    	203
297    	191
298    	162
299    	173
300    	183
301    	162
302    	162
303    	176
304    	181
305    	192
306    	156
307    	169
308    	182
309    	158
310    	156
311    	148
312    	150
313    	156
314    	140
315    	144
316    	187
317    	157
318    	156
319    	168
320    	149
321    	152
322    	148
323    	158
324    	135
325    	180
326    	152
327    	148
328    	159
329    	154
330    	129
331    	131
332    	154
333    	152
334    	146
335    	128
336    	142
337    	141
338    	138
339    	148
340    	125
341    	145
342    	135
343    	120
344    	115
345    	119
346    	120
347    	105
348    	120
349    	113
350    	109
351    	104
352    	92
353    	89
354    	85
355    	88
356    	69
357    	92
358    	84
359    	78
360    	70
361    	82
362    	73
363    	73
364    	78
365    	71
366    	76
367    	84
368    	80
369    	93
370    	70
371    	89
372    	80
373    	110
374    	97
375    	117
376    	122
377    	115
378    	92
379    	108
380    	125
381    	138
382    	117
383    	118
384    	129
385    	127
386    	109
387    	129
388    	104
389    	103
390    	90
391    	90
392    	94
393    	84
394    	79
395    	82
396    	70
397    	43
398    	51
399    	43
400    	28
401    	40
402    	37
403    	38
404    	24
405    	27
406    	19
407    	9
408    	10
409    	13
410    	11
411    	12
412    	7
413    	8
414    	3
415    	7
416    	3
417    	3
418    	6
419    	2
420    	1
421    	4
422    	1
423    	1
424    	3
425    	1
426    	5
427    	0
428    	4
429    	0
430    	4
431    	4
432    	2
433    	1
434    	1
435    	1
436    	1
437    	3
438    	1
439    	1
440    	3
441    	0
442    	1
443    	0
444    	1
445    	2
446    	2
447    	2
448    	2
449    	1
450    	2
451    	2
452    	2
453    	2
454    	4
455    	0
456    	1
457    	0
458    	1
459    	0
460    	1
461    	1
462    	1
463    	2
464    	0
465    	2
466    	4
467    	2
468    	2
469    	0
470    	1
471    	3
472    	1
473    	1
474    	1
475    	0
476    	2
477    	3
478    	1
479    	0
480    	0
481    	1
482    	2
483    	3
484    	1
485    	1
486    	0
487    	1
488    	0
489    	3
490    	1
491    	1
492    	0
493    	1
494    	0
495    	3
496    	1
497    	0
498    	1
499    	1
500    	0
501    	1
502    	1
503    	1
504    	0
505    	1
506    	1
507    	0
508    	1
509    	2
510    	1
511    	0
512    	1
513    	0
514    	0
515    	1
516    	0
517    	0
518    	3
519    	1
520    	1
521    	0
522    	0
523    	0
524    	1
525    	0
526    	0
527    	0
528    	0
529    	1
530    	0
531    	0
532    	0
533    	1
534    	0
535    	0
536    	0
537    	1
538    	0
539    	1
540    	0
541    	0
542    	0
543    	1
544    	0
545    	0
546    	0
547    	0
548    	1
549    	0
550    	0
551    	1
552    	0
553    	0
554    	0
555    	0
556    	1
557    	0
558    	0
559    	0
560    	0
561    	0
562    	0
563    	0
564    	1
565    	1
566    	0
567    	1
568    	0
569    	1
570    	1
571    	0
572    	1
573    	0
574    	0
575    	0
576    	0
577    	1
578    	0
579    	0
580    	0
581    	0
582    	0
583    	0
584    	0
585    	0
586    	1
587    	0
588    	0
589    	1
590    	1
591    	1
592    	0
593    	0
594    	1
595    	0
596    	0
597    	0
598    	1
599    	0
600    	0
601    	0
602    	1
603    	0
604    	0
605    	0
606    	1
607    	0
608    	1
609    	0
610    	0
611    	0
612    	0
613    	1
614    	0
615    	0
616    	0
617    	0
618    	0
619    	0
620    	0
621    	0
622    	0
623    	0
624    	0
625    	0
626    	0
627    	1
628    	0
629    	0
630    	0
631    	0
632    	0
633    	0
634    	0
635    	0
636    	0
637    	0
638    	0
639    	0
640    	0
641    	1
642    	0
643    	0
644    	0
645    	0
646    	0
647    	0
648    	0
649    	0
650    	0
651    	1
652    	0
653    	0
654    	1
655    	0
656    	0
657    	0
658    	0
659    	0
660    	0
661    	0
662    	0
663    	0
664    	0
665    	0
666    	0
667    	0
668    	0
669    	0
670    	0
671    	0
672    	0
673    	0
674    	1
675    	0
676    	0
677    	0
678    	0
679    	0
680    	1
681    	0
682    	0
683    	0
684    	0
685    	0
686    	0
687    	0
688    	0
689    	0
690    	1
691    	0
692    	0
693    	0
694    	0
695    	0
696    	0
697    	0
698    	0
699    	0
700    	0
701    	0
702    	0
703    	0
704    	1
705    	0
706    	0
707    	0
708    	0
709    	0
710    	0
711    	0
712    	0
713    	0
714    	0
715    	0
716    	0
717    	0
718    	0
719    	0
720    	0
721    	0
722    	0
723    	0
724    	0
725    	0
726    	0
727    	0
728    	1
729    	0
730    	0
731    	1
732    	0
733    	0
734    	0
735    	0
736    	0
737    	0
738    	0
739    	0
740    	0
741    	0
742    	0
743    	0
744    	0
745    	0
746    	0
747    	0
748    	0
749    	0
750    	0
751    	0
752    	0
753    	0
754    	0
755    	0
756    	0
757    	0
758    	0
759    	0
760    	0
761    	0
762    	0
763    	0
764    	0
765    	0
766    	0
767    	0
768    	0
769    	0
770    	0
771    	0
772    	0
773    	0
774    	0
775    	0
776    	0
777    	0
778    	0
779    	0
780    	0
781    	0
782    	0
783    	0
784    	0
785    	0
786    	0
787    	0
788    	0
789    	0
790    	0
791    	0
792    	0
793    	0
794    	0
795    	0
796    	0
797    	0
798    	0
799    	0
800    	0
801    	0
802    	0
803    	0
804    	0
805    	0
806    	0
807    	0
808    	0
809    	0
810    	0
811    	0
812    	0
813    	0
814    	0
815    	0
816    	0
817    	0
818    	0
819    	0
820    	0
821    	0
822    	0
823    	0
824    	0
825    	0
826    	0
827    	0
828    	0
829    	0
830    	0
831    	0
832    	0
833    	0
834    	0
835    	0
836    	0
837    	0
838    	0
839    	0
840    	0
841    	0
842    	0
843    	0
844    	1
845    	0
846    	0
847    	0
848    	0
849    	0
850    	0
851    	0
852    	0
853    	0
854    	0
855    	0
856    	0
857    	0
858    	0
859    	0
860    	0
861    	0
862    	0
863    	0
864    	0
865    	0
866    	0
867    	0
868    	0
869    	0
870    	0
871    	0
872    	1
873    	0
874    	1
875    	0
876    	0
877    	0
878    	0
879    	0
880    	0
881    	0
882    	0
883    	0
884    	0
885    	0
886    	0
887    	1
888    	0
889    	0
890    	0
891    	0
892    	0
893    	0
894    	1
895    	0
896    	0
897    	1
898    	0
899    	0
900    	0
901    	1
902    	0
903    	0
904    	1
905    	0
906    	0
907    	0
908    	0
909    	0
910    	0
911    	0
912    	0
913    	0
914    	0
915    	0
916    	0
917    	0
918    	0
919    	0
920    	0
921    	0
922    	0
923    	0
924    	0
925    	0
926    	0
927    	0
928    	0
929    	0
930    	0
931    	0
932    	0
933    	0
934    	1
935    	0
936    	0
937    	0
938    	0
939    	0
940    	0
941    	0
942    	0
943    	0
944    	0
945    	0
946    	0
947    	0
948    	0
949    	0
950    	0
951    	0
952    	0
953    	0
954    	0
955    	0
956    	0
957    	0
958    	0
959    	0
960    	0
961    	1
962    	0
963    	0
964    	0
965    	1
966    	0
967    	0
968    	0
969    	0
970    	0
971    	0
972    	0
973    	0
974    	0
975    	0
976    	0
977    	0
978    	0
979    	0
980    	0
